Source,Geography,Race,SES Vulnerability,Cause,Deaths
NCHS,Fulton,Black or African-American,Very Low,Diabetes,21.0
NCHS,DeKalb,Black or African-American,Low,All other Chronic Lower Respiratory Diseases,21.0
OASIS,Fulton,White,Low,Lung Cancer,21.0
OASIS,Fulton,Black or African-American,Very Low,Diabetes,21.0
OASIS,Fulton,Black or African-American,Average,Assault (Homicide),21.0
Georgia,Fulton,White,Average,Ischemic Heart and Vascular Disease,21.0
NCHS,Fulton,White,Low,Lung Cancer,21.0
OASIS,DeKalb,Black or African-American,Low,Lung Cancer,21.0
NCHS,Fulton,Black or African-American,High,All other Chronic Lower Respiratory Diseases,21.0
OASIS,DeKalb,Black or African-American,Low,All other Chronic Lower Respiratory Diseases,21.0
Georgia,DeKalb,Black or African-American,Low,All COPD Except Asthma,21.0
Georgia,DeKalb,Black or African-American,Very High,All Other Mental and Behavioral Disorders,21.0
NCHS,Fulton,Black or African-American,High,Blood Poisoning,21.0
Georgia,Fulton,Black or African-American,Low,All Other Diseases of the Nervous System,20.0
NCHS,Fulton,White,Low,All other Chronic Lower Respiratory Diseases,20.0
Georgia,DeKalb,White,Very Low,All Other Mental and Behavioral Disorders,20.0
NCHS,DeKalb,Black or African-American,Average,Diabetes,20.0
OASIS,Fulton,Black or African-American,Very High,Colon Cancer,20.0
NCHS,DeKalb,Black or African-American,High,Pancreatic Cancer,20.0
NCHS,Fulton,White,Very Low,Falls,20.0
OASIS,Fulton,White,Very Low,Falls,20.0
Georgia,Fulton,White,Very Low,"Malignant Neoplasm of Bladder, Kidney, and Renal Pelvis",20.0
NCHS,Fulton,White,Low,Intentional Self-Harm (Suicide),20.0
Georgia,Fulton,Black or African-American,High,Intentional Self-Harm (Suicide),20.0
Georgia,Fulton,White,Very Low,Falls,20.0
OASIS,DeKalb,Black or African-American,Average,Diabetes,20.0
OASIS,Fulton,Black or African-American,Low,Hypertensive Heart Disease,20.0
OASIS,Fulton,Black or African-American,High,Intentional Self-Harm (Suicide),20.0
Georgia,DeKalb,Black or African-American,Average,Diabetes Mellitus,20.0
Georgia,DeKalb,White,Very Low,"All Other Endocrine, Nutritional and Metabolic Diseases",20.0
OASIS,Fulton,Black or African-American,High,High Blood Pressure (Hypertension),20.0
NCHS,Fulton,Black or African-American,Very High,Colon Cancer,20.0
OASIS,Fulton,White,Low,Intentional Self-Harm (Suicide),20.0
OASIS,Fulton,Black or African-American,Low,All other Diseases of the Nervous System,20.0
OASIS,Fulton,Black or African-American,Very High,Breast Cancer,20.0
NCHS,Fulton,Black or African-American,Low,Hypertensive Heart Disease,20.0
NCHS,Fulton,Black or African-American,Very High,Motor Vehicle Crashes (MVC),20.0
OASIS,Fulton,Black or African-American,Very High,Motor Vehicle Crashes (MVC),20.0
NCHS,Fulton,Black or African-American,Low,All other Diseases of the Nervous System,20.0
NCHS,Fulton,Black or African-American,High,High Blood Pressure (Hypertension),20.0
Georgia,DeKalb,Black or African-American,High,"Malignant Neoplasms of Colon, Rectum and Anus",20.0
NCHS,DeKalb,Black or African-American,High,Colon Cancer,20.0
Georgia,DeKalb,Black or African-American,Very Low,Ischemic Heart and Vascular Disease,20.0
Georgia,DeKalb,Black or African-American,High,Malignant Neoplasm of Pancreas,20.0
OASIS,DeKalb,Black or African-American,High,Pancreatic Cancer,20.0
Georgia,Fulton,Black or African-American,Very High,Motor Vehicle Crashes,20.0
Georgia,Fulton,White,Low,Intentional Self-Harm (Suicide),20.0
OASIS,DeKalb,Black or African-American,High,Colon Cancer,20.0
NCHS,DeKalb,White,Very Low,"All other Endocrine, Nutritional and Metabolic Diseases",20.0
Georgia,Fulton,Black or African-American,Very High,"Malignant Neoplasms of Colon, Rectum and Anus",20.0
NCHS,DeKalb,White,Very Low,All other Mental and Behavioral Disorders,20.0
OASIS,DeKalb,White,Very Low,"All other Endocrine, Nutritional and Metabolic Diseases",20.0
OASIS,DeKalb,White,Very Low,All other Mental and Behavioral Disorders,20.0
Georgia,Fulton,Black or African-American,Very High,Malignant Neoplasm of the Breast,20.0
OASIS,Fulton,White,Low,All other Chronic Lower Respiratory Diseases,20.0
NCHS,Fulton,Black or African-American,Very High,Breast Cancer,20.0
NCHS,Fulton,Black or African-American,High,Intentional Self-Harm (Suicide),20.0
Georgia,Fulton,Black or African-American,Low,Diabetes Mellitus,19.0
Georgia,DeKalb,White,Very Low,Septicemia,19.0
OASIS,Fulton,Black or African-American,Average,High Blood Pressure (Hypertension),19.0
OASIS,DeKalb,Black or African-American,Low,Colon Cancer,19.0
Georgia,DeKalb,Black or African-American,Very High,"Malignant Neoplasm of Prostate, and Testis",19.0
NCHS,DeKalb,Black or African-American,Very High,Prostate Cancer,19.0
Georgia,DeKalb,White,Low,All COPD Except Asthma,19.0
NCHS,DeKalb,White,Low,Hypertensive Heart Disease,19.0
NCHS,Fulton,Black or African-American,Average,High Blood Pressure (Hypertension),19.0
NCHS,DeKalb,White,High,Alzheimer's Disease,19.0
Georgia,DeKalb,White,Very Low,"Malignant Neoplasms of Colon, Rectum and Anus",19.0
OASIS,DeKalb,White,High,Alzheimer's Disease,19.0
Georgia,Fulton,Black or African-American,Average,"Malignant Neoplasms of the Trachea, Bronchus and Lung",19.0
OASIS,DeKalb,White,Low,Hypertensive Heart Disease,19.0
OASIS,Fulton,Black or African-American,Low,Diabetes,19.0
Georgia,DeKalb,White,High,Alzheimers Disease,19.0
Georgia,DeKalb,Black or African-American,Low,"Malignant Neoplasms of Colon, Rectum and Anus",19.0
NCHS,DeKalb,White,Very Low,Blood Poisoning,19.0
OASIS,DeKalb,White,Very Low,Colon Cancer,19.0
OASIS,DeKalb,Black or African-American,Very High,Prostate Cancer,19.0
NCHS,DeKalb,White,Very Low,Colon Cancer,19.0
NCHS,Fulton,Black or African-American,Low,Diabetes,19.0
NCHS,Fulton,White,Low,Hypertensive Heart Disease,19.0
NCHS,Fulton,Black or African-American,Average,Lung Cancer,19.0
OASIS,Fulton,Black or African-American,Average,Lung Cancer,19.0
NCHS,DeKalb,Black or African-American,Low,Colon Cancer,19.0
OASIS,Fulton,White,Low,Hypertensive Heart Disease,19.0
NCHS,Fulton,White,Average,Stroke,18.0
Georgia,Fulton,Black or African-American,Very High,"Malignant Neoplasm of Prostate, and Testis",18.0
NCHS,Fulton,White,Average,Obstructive Heart Disease (incl. Heart Attack),18.0
NCHS,DeKalb,Black or African-American,Very Low,All other Diseases of the Nervous System,18.0
Georgia,DeKalb,Black or African-American,Very Low,All Other Diseases of the Nervous System,18.0
OASIS,DeKalb,Black or African-American,Very Low,All other Diseases of the Nervous System,18.0
Georgia,DeKalb,White,High,All Other Diseases of the Nervous System,18.0
NCHS,Fulton,Black or African-American,Very High,Prostate Cancer,18.0
OASIS,Fulton,Black or African-American,Very High,Prostate Cancer,18.0
NCHS,DeKalb,Black or African-American,Low,Motor Vehicle Crashes (MVC),18.0
Georgia,Fulton,White,Average,Cerebrovascular Disease,18.0
Georgia,Fulton,White,Very Low,"Malignant Neoplasms of Lip, Oral Cavity, Pharynx, and Esophagus",18.0
OASIS,DeKalb,White,High,All other Diseases of the Nervous System,18.0
OASIS,DeKalb,Black or African-American,Low,Motor Vehicle Crashes (MVC),18.0
OASIS,DeKalb,White,High,Obstructive Heart Disease (incl. Heart Attack),18.0
Georgia,DeKalb,White,Very High,Ischemic Heart and Vascular Disease,18.0
NCHS,DeKalb,White,High,Obstructive Heart Disease (incl. Heart Attack),18.0
Georgia,DeKalb,Black or African-American,Average,"Malignant Neoplasms of the Trachea, Bronchus and Lung",18.0
Georgia,DeKalb,Black or African-American,High,All COPD Except Asthma,18.0
OASIS,DeKalb,Black or African-American,Average,Lung Cancer,18.0
NCHS,DeKalb,Black or African-American,Average,Lung Cancer,18.0
Georgia,DeKalb,Black or African-American,Low,Motor Vehicle Crashes,18.0
NCHS,DeKalb,White,High,All other Diseases of the Nervous System,18.0
OASIS,Fulton,White,Average,Stroke,18.0
OASIS,Fulton,White,Average,Obstructive Heart Disease (incl. Heart Attack),18.0
Georgia,DeKalb,Black or African-American,Very High,Malignant Neoplasm of the Breast,17.0
Georgia,Fulton,Black or African-American,Average,"Malignant Neoplasms of Colon, Rectum and Anus",17.0
NCHS,DeKalb,White,Very High,Obstructive Heart Disease (incl. Heart Attack),17.0
OASIS,Fulton,Black or African-American,Average,Colon Cancer,17.0
Georgia,DeKalb,Black or African-American,Very High,"Malignant Neoplasm of the Cervix Uteri, Uterus, and Ovary",17.0
Georgia,Fulton,Black or African-American,Very High,Intentional Self-Harm (Suicide),17.0
NCHS,DeKalb,Black or African-American,Very High,Kidney Diseases,17.0
Georgia,DeKalb,Black or African-American,Very High,"Nephritis, Nephrotic Syndrome and Nephrosis",17.0
Georgia,Fulton,Black or African-American,Very High,Human Immunodeficiency Virus (HIV) Disease,17.0
Georgia,DeKalb,Black or African-American,Very Low,"Essential (Primary) Hypertension and Hypertensive Renal, and Heart Disease",17.0
NCHS,DeKalb,Black or African-American,Very High,Blood Poisoning,17.0
Georgia,DeKalb,Black or African-American,High,Malignant Neoplasm of the Breast,17.0
Georgia,DeKalb,Black or African-American,High,"Malignant Neoplasm of Prostate, and Testis",17.0
NCHS,Fulton,White,Low,Falls,17.0
Georgia,DeKalb,Black or African-American,Very High,Malignant Neoplasm of Pancreas,17.0
Georgia,DeKalb,Black or African-American,Very High,Septicemia,17.0
Georgia,DeKalb,Black or African-American,Average,Malignant Neoplasm of the Breast,17.0
OASIS,Fulton,Black or African-American,High,All other Mental and Behavioral Disorders,17.0
NCHS,Fulton,Black or African-American,Very High,Intentional Self-Harm (Suicide),17.0
NCHS,Fulton,Black or African-American,Very High,HIV/AIDS,17.0
NCHS,DeKalb,Black or African-American,Very High,Breast Cancer,17.0
Georgia,Fulton,Black or African-American,High,All Other Mental and Behavioral Disorders,17.0
NCHS,DeKalb,Black or African-American,Very High,Pancreatic Cancer,17.0
NCHS,DeKalb,White,Low,All other Chronic Lower Respiratory Diseases,17.0
OASIS,Fulton,Black or African-American,Very High,Intentional Self-Harm (Suicide),17.0
NCHS,DeKalb,Black or African-American,Average,Breast Cancer,17.0
OASIS,DeKalb,Black or African-American,Very High,Pancreatic Cancer,17.0
OASIS,DeKalb,White,Very High,Obstructive Heart Disease (incl. Heart Attack),17.0
OASIS,DeKalb,Black or African-American,Very High,Kidney Diseases,17.0
OASIS,DeKalb,White,Low,All other Chronic Lower Respiratory Diseases,17.0
NCHS,DeKalb,Black or African-American,High,All other Chronic Lower Respiratory Diseases,17.0
OASIS,DeKalb,Black or African-American,Very High,Breast Cancer,17.0
Georgia,Fulton,White,Low,Falls,17.0
NCHS,DeKalb,Black or African-American,High,Prostate Cancer,17.0
OASIS,DeKalb,Black or African-American,High,Prostate Cancer,17.0
OASIS,DeKalb,Black or African-American,Average,Breast Cancer,17.0
NCHS,Fulton,Black or African-American,High,All other Mental and Behavioral Disorders,17.0
OASIS,DeKalb,Black or African-American,High,Breast Cancer,17.0
OASIS,DeKalb,Black or African-American,High,All other Chronic Lower Respiratory Diseases,17.0
OASIS,Fulton,White,Low,Falls,17.0
NCHS,Fulton,Black or African-American,Average,Colon Cancer,17.0
NCHS,DeKalb,Black or African-American,High,Breast Cancer,17.0
NCHS,Fulton,White,Very Low,Brain Cancer,16.0
Georgia,Fulton,Black or African-American,Very Low,Alzheimers Disease,16.0
Georgia,Fulton,White,Very Low,Covid-19,16.0
NCHS,Fulton,Black or African-American,High,Prostate Cancer,16.0
NCHS,DeKalb,Black or African-American,Very Low,Obstructive Heart Disease (incl. Heart Attack),16.0
NCHS,DeKalb,Black or African-American,Average,Assault (Homicide),16.0
OASIS,DeKalb,Black or African-American,Very Low,Obstructive Heart Disease (incl. Heart Attack),16.0
OASIS,Fulton,Black or African-American,Average,"All other Endocrine, Nutritional and Metabolic Diseases",16.0
OASIS,Fulton,Black or African-American,Very Low,Alzheimer's Disease,16.0
OASIS,Fulton,Black or African-American,Very Low,All other Mental and Behavioral Disorders,16.0
OASIS,Fulton,White,Very Low,Brain Cancer,16.0
NCHS,Fulton,Black or African-American,Very Low,Alzheimer's Disease,16.0
OASIS,Fulton,White,Very Low,Pneumonia,16.0
OASIS,DeKalb,Black or African-American,Very High,Colon Cancer,16.0
NCHS,Fulton,Black or African-American,Very Low,All other Mental and Behavioral Disorders,16.0
Georgia,Fulton,Black or African-American,Average,"All Other Endocrine, Nutritional and Metabolic Diseases",16.0
Georgia,DeKalb,Black or African-American,Average,Assault (Homicide),16.0
Georgia,Fulton,White,High,Ischemic Heart and Vascular Disease,16.0
NCHS,Fulton,White,Very Low,Pneumonia,16.0
OASIS,DeKalb,Black or African-American,Average,Assault (Homicide),16.0
Georgia,DeKalb,Black or African-American,Very High,"Malignant Neoplasms of Colon, Rectum and Anus",16.0
NCHS,Fulton,Black or African-American,Average,"All other Endocrine, Nutritional and Metabolic Diseases",16.0
Georgia,Fulton,Black or African-American,High,"Malignant Neoplasm of Prostate, and Testis",16.0
OASIS,Fulton,Black or African-American,High,Prostate Cancer,16.0
Georgia,DeKalb,White,High,"Essential (Primary) Hypertension and Hypertensive Renal, and Heart Disease",16.0
Georgia,Fulton,White,Very Low,"Malignant Neoplasms of Meninges, Brain and Other Parts of Central Nervous System",16.0
Georgia,Fulton,Black or African-American,Very Low,All Other Mental and Behavioral Disorders,16.0
NCHS,DeKalb,Black or African-American,Very High,Colon Cancer,16.0
NCHS,Fulton,White,Very Low,COVID-19,16.0
Georgia,Fulton,White,Very Low,Pneumonia,16.0
Georgia,DeKalb,White,Low,"All Other Endocrine, Nutritional and Metabolic Diseases",15.0
NCHS,DeKalb,Black or African-American,Very High,Intentional Self-Harm (Suicide),15.0
Georgia,DeKalb,Black or African-American,High,All Other Mental and Behavioral Disorders,15.0
OASIS,DeKalb,White,Low,"All other Endocrine, Nutritional and Metabolic Diseases",15.0
NCHS,Fulton,Black or African-American,High,Pancreatic Cancer,15.0
Georgia,Fulton,Black or African-American,High,Malignant Neoplasm of Pancreas,15.0
OASIS,Fulton,Black or African-American,High,Pancreatic Cancer,15.0
OASIS,DeKalb,White,Very Low,Kidney Diseases,15.0
Georgia,Fulton,White,Average,Alzheimers Disease,15.0
OASIS,DeKalb,Black or African-American,Very High,Intentional Self-Harm (Suicide),15.0
Georgia,DeKalb,Black or African-American,Low,Assault (Homicide),15.0
NCHS,Fulton,White,High,Obstructive Heart Disease (incl. Heart Attack),15.0
OASIS,DeKalb,Black or African-American,High,All other Mental and Behavioral Disorders,15.0
NCHS,Fulton,White,Average,Hypertensive Heart Disease,15.0
NCHS,DeKalb,White,Low,"All other Endocrine, Nutritional and Metabolic Diseases",15.0
OASIS,Fulton,White,High,Obstructive Heart Disease (incl. Heart Attack),15.0
NCHS,Fulton,White,Average,Alzheimer's Disease,15.0
Georgia,DeKalb,Black or African-American,Very High,Intentional Self-Harm (Suicide),15.0
Georgia,DeKalb,White,Very Low,"Nephritis, Nephrotic Syndrome and Nephrosis",15.0
OASIS,DeKalb,Black or African-American,Low,Assault (Homicide),15.0
NCHS,DeKalb,Black or African-American,Low,Assault (Homicide),15.0
NCHS,DeKalb,White,Very Low,Kidney Diseases,15.0
NCHS,Fulton,Black or African-American,Average,Poisoning,15.0
Georgia,Fulton,Black or African-American,Average,Accidental Poisoning and Exposure to Noxious Substances,15.0
OASIS,Fulton,White,Average,Alzheimer's Disease,15.0
NCHS,DeKalb,Black or African-American,High,All other Mental and Behavioral Disorders,15.0
OASIS,Fulton,Black or African-American,Average,Poisoning,15.0
OASIS,Fulton,White,Average,Hypertensive Heart Disease,15.0
Georgia,DeKalb,White,Very High,Accidental Poisoning and Exposure to Noxious Substances,14.0
OASIS,Fulton,White,Very Low,Alcoholic Liver Disease,14.0
Georgia,DeKalb,White,Very High,All Other Diseases of the Nervous System,14.0
Georgia,Fulton,Black or African-American,High,Malignant Neoplasm of the Breast,14.0
OASIS,DeKalb,Black or African-American,Average,All other Diseases of the Nervous System,14.0
NCHS,DeKalb,Black or African-American,Low,Blood Poisoning,14.0
OASIS,Fulton,White,Very Low,Liver Cancer,14.0
OASIS,Fulton,Black or African-American,Very Low,"All other Endocrine, Nutritional and Metabolic Diseases",14.0
NCHS,Fulton,Black or African-American,Low,Intentional Self-Harm (Suicide),14.0
Georgia,Fulton,White,Very Low,Malignant Neoplasms of Liver and Intrahepatic Bile Ducts,14.0
Georgia,DeKalb,Black or African-American,Low,Septicemia,14.0
OASIS,DeKalb,White,Very High,Poisoning,14.0
NCHS,DeKalb,White,Very High,All other Diseases of the Nervous System,14.0
OASIS,DeKalb,White,Very High,All other Diseases of the Nervous System,14.0
OASIS,DeKalb,White,Low,Parkinson's Disease,14.0
Georgia,Fulton,Black or African-American,Average,Septicemia,14.0
NCHS,Fulton,Black or African-American,High,Breast Cancer,14.0
NCHS,Fulton,Black or African-American,Very Low,"All other Endocrine, Nutritional and Metabolic Diseases",14.0
Georgia,Fulton,White,Very Low,Alcoholic Liver Disease,14.0
NCHS,Fulton,Black or African-American,Average,Blood Poisoning,14.0
NCHS,DeKalb,White,Low,Parkinson's Disease,14.0
