Source,Geography,Race,SES Vulnerability,Cause,Deaths
OASIS,Fulton,Unknown Race,High,Accidental Shooting,0.0
OASIS,Fulton,Unknown Race,High,Assault (Homicide),0.0
OASIS,Fulton,Unknown Race,High,All Other Unintentional Injury,0.0
OASIS,Fulton,Unknown Race,High,All other Chronic Liver Disease and Cirrhosis,0.0
OASIS,Fulton,Unknown Race,High,All other Chronic Lower Respiratory Diseases,0.0
OASIS,Fulton,Unknown Race,High,All other Diseases of the Genitourinary System,0.0
OASIS,Fulton,Unknown Race,High,All other Diseases of the Nervous System,0.0
OASIS,Fulton,Unknown Race,High,"All other Endocrine, Nutritional and Metabolic Diseases",0.0
OASIS,Fulton,Unknown Race,High,All other Mental and Behavioral Disorders,0.0
OASIS,Fulton,Unknown Race,High,All other Other Diseases of Circulatory System,0.0
OASIS,Fulton,Unknown Race,High,Alzheimer's Disease,0.0
OASIS,Fulton,Unknown Race,High,Aortic Aneurysm and Dissection,0.0
OASIS,Fulton,Unknown Race,High,Alcoholic Liver Disease,0.0
OASIS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Asthma,0.0
OASIS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Birth-Related Infections,0.0
OASIS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Bladder Cancer,0.0
OASIS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Brain Cancer,0.0
OASIS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Breast Cancer,0.0
OASIS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Bronchitis,0.0
OASIS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Cervical Cancer,0.0
OASIS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Colon Cancer,0.0
OASIS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Diabetes,0.0
OASIS,Fulton,Unknown Race,Average,Assault (Homicide),0.0
OASIS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Drowning,0.0
OASIS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Emphysema,0.0
OASIS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Falls,0.0
OASIS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Fire and Smoke Exposure,0.0
OASIS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Flu,0.0
OASIS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Hardening of the Arteries,0.0
OASIS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,High Blood Pressure (Hypertension),0.0
OASIS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Hypertensive Heart Disease,0.0
OASIS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Hypertensive Heart and Chronic Kidney Disease,0.0
OASIS,Fulton,Native Hawaiian or Other Pacific Islander,Very Low,Intentional Self-Harm (Suicide),0.0
